timestamp,topology,algorithm,traffic,inj_rate,seed,avg_latency,min_latency,max_latency,status
20260514-222103,mesh44,min_adapt,hotspot,0.1,123,350.422,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.1,456,352.007,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.1,789,333.653,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.1,999,337.642,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.2,42,576.979,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.2,123,579.85,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.2,456,596.647,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.2,789,562.7,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.2,999,560.129,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.3,42,715.662,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.3,123,717.607,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.3,456,716.302,NA,NA,OK
20260514-222104,mesh44,min_adapt,hotspot,0.3,789,725.217,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.3,999,713.19,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.35,42,750.94,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.35,123,762.628,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.35,456,757.798,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.35,789,761.882,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.35,999,743.873,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.4,42,788.424,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.4,123,792.769,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.4,456,800.406,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.4,789,792.871,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.4,999,784.196,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.45,42,808.471,NA,NA,OK
20260514-222105,mesh44,min_adapt,hotspot,0.45,123,813.669,NA,NA,OK
20260514-222106,mesh44,min_adapt,hotspot,0.45,456,814.681,NA,NA,OK
20260514-222106,mesh44,min_adapt,hotspot,0.45,789,818.804,NA,NA,OK
20260514-222106,mesh44,min_adapt,hotspot,0.45,999,809.268,NA,NA,OK
20260514-222106,mesh88,dor,uniform,0.01,42,32.9944,NA,NA,OK
20260514-222106,mesh88,dor,uniform,0.01,123,33.2881,NA,NA,OK
20260514-222107,mesh88,dor,uniform,0.01,456,33.0753,NA,NA,OK
20260514-222108,mesh88,dor,uniform,0.01,789,33.2523,NA,NA,OK
20260514-222108,mesh88,dor,uniform,0.01,999,33.6853,NA,NA,OK
20260514-222109,mesh88,dor,uniform,0.05,42,33.2301,NA,NA,OK
20260514-222110,mesh88,dor,uniform,0.05,123,32.9498,NA,NA,OK
20260514-222112,mesh88,dor,uniform,0.05,456,33.3962,NA,NA,OK
20260514-222113,mesh88,dor,uniform,0.05,789,33.1759,NA,NA,OK
20260514-222115,mesh88,dor,uniform,0.05,999,33.1257,NA,NA,OK
20260514-222116,mesh88,dor,uniform,0.1,42,33.6973,NA,NA,OK
20260514-222119,mesh88,dor,uniform,0.1,123,33.4805,NA,NA,OK
20260514-222121,mesh88,dor,uniform,0.1,456,33.5469,NA,NA,OK
20260514-222124,mesh88,dor,uniform,0.1,789,33.6141,NA,NA,OK
20260514-222127,mesh88,dor,uniform,0.1,999,33.734,NA,NA,OK
20260514-222129,mesh88,dor,uniform,0.2,42,94.6816,NA,NA,OK
20260514-222133,mesh88,dor,uniform,0.2,123,80.0581,NA,NA,OK
20260514-222138,mesh88,dor,uniform,0.2,456,87.3682,NA,NA,OK
20260514-222142,mesh88,dor,uniform,0.2,789,89.5804,NA,NA,OK
20260514-222145,mesh88,dor,uniform,0.2,999,76.876,NA,NA,OK
20260514-222149,mesh88,dor,uniform,0.3,42,292.235,NA,NA,OK
20260514-222151,mesh88,dor,uniform,0.3,123,290.713,NA,NA,OK
20260514-222152,mesh88,dor,uniform,0.3,456,284.95,NA,NA,OK
20260514-222154,mesh88,dor,uniform,0.3,789,289.501,NA,NA,OK
20260514-222155,mesh88,dor,uniform,0.3,999,293.23,NA,NA,OK
20260514-222157,mesh88,dor,uniform,0.35,42,364.953,NA,NA,OK
20260514-222158,mesh88,dor,uniform,0.35,123,361.199,NA,NA,OK
20260514-222200,mesh88,dor,uniform,0.35,456,358.143,NA,NA,OK
20260514-222201,mesh88,dor,uniform,0.35,789,357.121,NA,NA,OK
20260514-222202,mesh88,dor,uniform,0.35,999,362.957,NA,NA,OK
20260514-222204,mesh88,dor,uniform,0.4,42,433.471,NA,NA,OK
20260514-222205,mesh88,dor,uniform,0.4,123,426.853,NA,NA,OK
20260514-222207,mesh88,dor,uniform,0.4,456,430.657,NA,NA,OK
20260514-222208,mesh88,dor,uniform,0.4,789,430.173,NA,NA,OK
20260514-222210,mesh88,dor,uniform,0.4,999,441.296,NA,NA,OK
20260514-222211,mesh88,dor,uniform,0.45,42,497.749,NA,NA,OK
20260514-222212,mesh88,dor,uniform,0.45,123,499.648,NA,NA,OK
20260514-222213,mesh88,dor,uniform,0.45,456,498.339,NA,NA,OK
20260514-222213,mesh88,dor,uniform,0.45,789,501.917,NA,NA,OK
20260514-222214,mesh88,dor,uniform,0.45,999,512.269,NA,NA,OK
20260514-222215,mesh88,dor,hotspot,0.01,42,71.5055,NA,NA,OK
20260514-222216,mesh88,dor,hotspot,0.01,123,71.609,NA,NA,OK
20260514-222216,mesh88,dor,hotspot,0.01,456,58.9434,NA,NA,OK
