topo,k,n,algo,traffic,inj_rate,seed,latency,accepted,hops,injected
mesh,4,2,valiant,transpose,0.02,1,32.2058,0.0199068,6.00005,0.0199051
mesh,4,2,valiant,transpose,0.02,2,32.146,0.0199811,5.9884,0.0199715
mesh,4,2,valiant,transpose,0.02,3,32.2401,0.0201258,6.00624,0.0201161
mesh,4,2,valiant,transpose,0.02,4,32.2155,0.020101,6.00131,0.0200916
mesh,4,2,valiant,transpose,0.1,0,44.6778,0,0,0.0155417
mesh,4,2,valiant,transpose,0.1,1,42.6006,0,0,0.0172411
mesh,4,2,valiant,transpose,0.1,2,44.231,0,0,0.0223661
mesh,4,2,valiant,transpose,0.1,3,46.4168,0,0,0.0205893
mesh,4,2,valiant,transpose,0.1,4,40.3378,0,0,0.0
mesh,4,2,valiant,transpose,0.2,0,70.2077,0,0,0.0
mesh,4,2,valiant,transpose,0.2,1,51.5263,0,0,0.0141875
mesh,4,2,valiant,transpose,0.2,2,49.9676,0,0,0.0130312
mesh,4,2,valiant,transpose,0.2,3,64.6856,0,0,0.0165313
mesh,4,2,valiant,transpose,0.2,4,55.7227,0,0,0.0154062
mesh,4,2,valiant,transpose,0.3,0,64.8409,0,0,0.011
mesh,4,2,valiant,transpose,0.3,1,75.395,0,0,0.014125
mesh,4,2,valiant,transpose,0.3,2,104.362,0,0,0.0158438
mesh,4,2,valiant,transpose,0.3,3,61.3176,0,0,0.0120938
mesh,4,2,valiant,transpose,0.3,4,78.3435,0,0,0.014625
mesh,4,2,valiant,uniform,0.01,0,32.0907,0.00998927,6.00386,0.00998256
mesh,4,2,valiant,uniform,0.01,1,32.1416,0.00999502,6.01498,0.00999869
mesh,4,2,valiant,uniform,0.01,2,32.0483,0.010049,5.99542,0.0100517
mesh,4,2,valiant,uniform,0.01,3,32.021,0.0100396,5.99109,0.0100428
mesh,4,2,valiant,uniform,0.01,4,32.0407,0.0100529,5.99404,0.0100468
mesh,4,2,valiant,uniform,0.02,0,32.2157,0.0199782,5.9992,0.0199841
mesh,4,2,valiant,uniform,0.02,1,32.2386,0.0200402,6.0052,0.0200503
mesh,4,2,valiant,uniform,0.02,2,32.2049,0.0200022,5.99655,0.0200035
mesh,4,2,valiant,uniform,0.02,3,32.2871,0.0201092,6.01444,0.0201103
mesh,4,2,valiant,uniform,0.02,4,32.2863,0.0200638,6.01324,0.0200513
mesh,4,2,valiant,uniform,0.2,0,1019.39,0,0,0.109437
mesh,4,2,valiant,uniform,0.2,1,938.782,0,0,0.107875
mesh,4,2,valiant,uniform,0.2,2,922.862,0,0,0.11325
mesh,4,2,valiant,uniform,0.2,3,1016.91,0,0,0.116437
mesh,4,2,valiant,uniform,0.2,4,1015.75,0,0,0.116437
mesh,4,2,valiant,uniform,0.3,0,593.2,0,0,0.116719
mesh,4,2,valiant,uniform,0.3,1,594.53,0,0,0.119844
mesh,4,2,valiant,uniform,0.3,2,598.974,0,0,0.115937
mesh,4,2,valiant,uniform,0.3,3,551.504,0,0,0.120063
mesh,4,2,valiant,uniform,0.3,4,596.379,0,0,0.120719
mesh,4,4,dor,hotspot,0.01,0,19.6634,0.00996791,3.49943,0.00995955
mesh,4,4,dor,hotspot,0.01,1,19.6538,0.0100112,3.49828,0.0100119
mesh,4,4,dor,hotspot,0.01,2,19.6853,0.0100587,3.50374,0.0100535
mesh,4,4,dor,hotspot,0.01,3,19.671,0.00997368,3.50159,0.00997331
mesh,4,4,dor,hotspot,0.01,4,19.6329,0.0100344,3.49524,0.0100353
mesh,4,4,dor,hotspot,0.02,0,20.6188,0.0199467,3.49485,0.01995
mesh,4,4,dor,hotspot,0.02,1,20.6925,0.0200738,3.50539,0.0200864
mesh,4,4,dor,hotspot,0.02,2,20.6508,0.0199456,3.5041,0.0199518
mesh,4,4,dor,hotspot,0.02,3,20.6586,0.0200998,3.50213,0.0201043
mesh,4,4,dor,hotspot,0.02,4,20.6707,0.0200973,3.49977,0.0200898
mesh,4,4,dor,hotspot,0.05,0,478.158,0,0,0.0309375
mesh,4,4,dor,hotspot,0.05,1,562.43,0,0,0.03125
mesh,4,4,dor,hotspot,0.05,2,489.386,0,0,0.0325625
mesh,4,4,dor,hotspot,0.05,3,509.906,0,0,0.0309375
mesh,4,4,dor,hotspot,0.05,4,569.542,0,0,0.030625
mesh,4,4,dor,hotspot,0.1,0,437.674,0,0,0.0348125
mesh,4,4,dor,hotspot,0.1,1,479.449,0,0,0.03475
mesh,4,4,dor,hotspot,0.1,2,471.373,0,0,0.0348437
mesh,4,4,dor,hotspot,0.1,3,475.414,0,0,0.0348125
mesh,4,4,dor,hotspot,0.1,4,473.931,0,0,0.0347187
mesh,4,4,dor,hotspot,0.2,0,600.421,0,0,0.0349062
mesh,4,4,dor,hotspot,0.2,1,653.036,0,0,0.034875
mesh,4,4,dor,hotspot,0.2,2,640.16,0,0,0.0349375
mesh,4,4,dor,hotspot,0.2,3,651.553,0,0,0.034875
mesh,4,4,dor,hotspot,0.2,4,640.048,0,0,0.0348437
mesh,4,4,dor,hotspot,0.3,0,656.49,0,0,0.035
mesh,4,4,dor,hotspot,0.3,1,747.089,0,0,0.0349375
mesh,4,4,dor,hotspot,0.3,2,389.871,0,0,0.0386875
mesh,4,4,dor,hotspot,0.3,3,771.188,0,0,0.0349062
mesh,4,4,dor,hotspot,0.3,4,750.044,0,0,0.0348437
mesh,4,4,dor,transpose,0.01,0,19.5408,0.0100039,3.50725,0.0100029
mesh,4,4,dor,transpose,0.01,1,19.5322,0.0099871,3.50538,0.00998611
mesh,4,4,dor,transpose,0.01,2,19.563,0.0100163,3.51151,0.0100178
mesh,4,4,dor,transpose,0.01,3,19.5209,0.0100357,3.50305,0.0100346
mesh,4,4,dor,transpose,0.01,4,19.5082,0.0100179,3.50052,0.0100172
mesh,4,4,dor,transpose,0.02,0,19.5044,0.0199607,3.49834,0.0199605
mesh,4,4,dor,transpose,0.02,1,19.5519,0.0200421,3.50777,0.0200409
mesh,4,4,dor,transpose,0.02,2,19.5064,0.020054,3.49869,0.0200615
mesh,4,4,dor,transpose,0.02,3,19.515,0.0200559,3.50047,0.0200501
mesh,4,4,dor,transpose,0.02,4,19.493,0.0200322,3.49609,0.0200348
mesh,4,4,dor,transpose,0.05,0,19.6144,0.0499998,3.50521,0.0500195
mesh,4,4,dor,transpose,0.05,1,19.5833,0.0501739,3.49891,0.0501576
mesh,4,4,dor,transpose,0.05,2,19.5691,0.0499852,3.4963,0.0499725
mesh,4,4,dor,transpose,0.05,3,19.5594,0.0500495,3.4943,0.050042
mesh,4,4,dor,transpose,0.05,4,19.5989,0.0500337,3.50256,0.0500406
mesh,4,4,dor,transpose,0.1,0,20.4867,0.0999501,3.49974,0.0999516
mesh,4,4,dor,transpose,0.1,1,20.5211,0.100237,3.50199,0.10025
mesh,4,4,dor,transpose,0.1,2,20.4768,0.100051,3.49727,0.100045
mesh,4,4,dor,transpose,0.1,3,20.4449,0.10009,3.49708,0.100079
mesh,4,4,dor,transpose,0.1,4,20.4822,0.100008,3.49862,0.10002
mesh,4,4,dor,transpose,0.2,0,483.597,0,0,0.175009
mesh,4,4,dor,transpose,0.2,1,517.36,0,0,0.174795
mesh,4,4,dor,transpose,0.2,2,483.41,0,0,0.175759
mesh,4,4,dor,transpose,0.2,3,495.787,0,0,0.173509
mesh,4,4,dor,transpose,0.2,4,525.506,0,0,0.174884
mesh,4,4,dor,transpose,0.3,0,561.062,0,0,0.214625
mesh,4,4,dor,transpose,0.3,1,519.405,0,0,0.216438
mesh,4,4,dor,transpose,0.3,2,555.002,0,0,0.212438
mesh,4,4,dor,transpose,0.3,3,585.829,0,0,0.214875
mesh,4,4,dor,transpose,0.3,4,624.311,0,0,0.210187
mesh,4,4,dor,uniform,0.01,0,19.5084,0.0100171,3.50014,0.0100096
mesh,4,4,dor,uniform,0.01,1,19.5158,0.00997058,3.50178,0.00997411
mesh,4,4,dor,uniform,0.01,2,19.5169,0.0100382,3.50196,0.0100353
mesh,4,4,dor,uniform,0.01,3,19.4829,0.0100058,3.49491,0.0100157
mesh,4,4,dor,uniform,0.01,4,19.5343,0.0100759,3.50539,0.0100749
mesh,4,4,dor,uniform,0.02,0,19.5298,0.0199809,3.50282,0.0199861
mesh,4,4,dor,uniform,0.02,1,19.4917,0.0200097,3.49517,0.020013
mesh,4,4,dor,uniform,0.02,2,19.5118,0.0200208,3.49927,0.0200166
