algo,traffic,inj_rate,seed,latency
min_adapt,hotspot,0.05,0,448.124
min_adapt,hotspot,0.05,1,498.148
min_adapt,hotspot,0.05,2,464.678
min_adapt,hotspot,0.05,3,466.454
min_adapt,hotspot,0.05,4,489.276
min_adapt,hotspot,0.1,0,419.227
min_adapt,hotspot,0.1,1,442.448
min_adapt,hotspot,0.1,2,435.993
min_adapt,hotspot,0.1,3,431.803
min_adapt,hotspot,0.1,4,454.225
min_adapt,hotspot,0.2,0,618.203
min_adapt,hotspot,0.2,1,643.933
min_adapt,hotspot,0.2,2,626.176
min_adapt,hotspot,0.2,3,632.943
min_adapt,hotspot,0.2,4,662.642
min_adapt,hotspot,0.3,0,731.817
min_adapt,hotspot,0.3,1,759.298
min_adapt,hotspot,0.3,2,750.595
min_adapt,hotspot,0.3,3,765.198
min_adapt,hotspot,0.3,4,752.325
min_adapt,transpose,0.01,0,19.7273
min_adapt,transpose,0.01,1,19.6506
min_adapt,transpose,0.01,2,19.6292
min_adapt,transpose,0.01,3,19.6674
min_adapt,transpose,0.01,4,19.6686
min_adapt,transpose,0.02,0,19.8412
min_adapt,transpose,0.02,1,19.8124
min_adapt,transpose,0.02,2,19.8043
min_adapt,transpose,0.02,3,19.8034
min_adapt,transpose,0.02,4,19.8072
min_adapt,transpose,0.05,0,20.3147
min_adapt,transpose,0.05,1,20.2566
min_adapt,transpose,0.05,2,20.2178
min_adapt,transpose,0.05,3,20.2195
min_adapt,transpose,0.05,4,20.2744
min_adapt,transpose,0.1,0,22.2142
min_adapt,transpose,0.1,1,22.2133
min_adapt,transpose,0.1,2,22.1375
min_adapt,transpose,0.1,3,22.1948
min_adapt,transpose,0.1,4,22.1432
min_adapt,transpose,0.2,0,526.783
min_adapt,transpose,0.2,1,514.807
min_adapt,transpose,0.2,2,527.92
min_adapt,transpose,0.2,3,496.365
min_adapt,transpose,0.2,4,489.75
min_adapt,transpose,0.3,0,519.749
min_adapt,transpose,0.3,1,551.945
min_adapt,transpose,0.3,2,553.413
min_adapt,transpose,0.3,3,504.876
min_adapt,transpose,0.3,4,525.508
min_adapt,uniform,0.01,0,19.7453
min_adapt,uniform,0.01,1,19.6833
min_adapt,uniform,0.01,2,19.7242
min_adapt,uniform,0.01,3,19.6912
min_adapt,uniform,0.01,4,19.7545
min_adapt,uniform,0.02,0,19.9255
min_adapt,uniform,0.02,1,19.9079
min_adapt,uniform,0.02,2,19.8948
min_adapt,uniform,0.02,3,19.8873
min_adapt,uniform,0.02,4,19.9225
min_adapt,uniform,0.05,0,20.5101
min_adapt,uniform,0.05,1,20.5109
min_adapt,uniform,0.05,2,20.5312
min_adapt,uniform,0.05,3,20.5096
min_adapt,uniform,0.05,4,20.5078
min_adapt,uniform,0.1,0,21.3896
min_adapt,uniform,0.1,1,21.4059
min_adapt,uniform,0.1,2,21.3932
min_adapt,uniform,0.1,3,21.386
min_adapt,uniform,0.1,4,21.4154
min_adapt,uniform,0.2,0,23.3892
min_adapt,uniform,0.2,1,23.3951
min_adapt,uniform,0.2,2,23.3719
min_adapt,uniform,0.2,3,23.3774
min_adapt,uniform,0.2,4,23.3579
valiant,hotspot,0.01,0,32.7506
valiant,hotspot,0.01,1,32.7803
valiant,hotspot,0.01,2,32.6942
valiant,hotspot,0.01,3,32.7343
valiant,hotspot,0.01,4,32.7376
valiant,hotspot,0.02,0,38.5479
valiant,hotspot,0.02,1,38.2026
valiant,hotspot,0.02,2,38.3908
valiant,hotspot,0.02,3,38.4346
valiant,hotspot,0.02,4,38.4567
valiant,hotspot,0.05,0,720.474
valiant,hotspot,0.05,1,623.743
valiant,hotspot,0.05,2,594.387
valiant,hotspot,0.05,3,893.949
valiant,hotspot,0.05,4,809.918
valiant,hotspot,0.1,0,460.665
valiant,hotspot,0.1,1,489.766
valiant,hotspot,0.1,2,552.756
valiant,hotspot,0.1,3,548.383
valiant,hotspot,0.1,4,533.35
valiant,hotspot,0.2,0,385.573
valiant,hotspot,0.2,1,385.83
valiant,hotspot,0.2,2,392.857
valiant,hotspot,0.2,3,755.908
valiant,hotspot,0.2,4,389.312
valiant,hotspot,0.3,0,411.402
valiant,hotspot,0.3,1,404.803
valiant,hotspot,0.3,2,407.865
valiant,hotspot,0.3,3,420.815
valiant,hotspot,0.3,4,410.209
valiant,transpose,0.01,0,32.0904
valiant,transpose,0.01,1,32.125
valiant,transpose,0.01,2,31.9466
valiant,transpose,0.01,3,32.0458
valiant,transpose,0.01,4,32.0867
valiant,transpose,0.02,0,32.2241
valiant,transpose,0.02,1,32.2058
valiant,transpose,0.02,2,32.146
valiant,transpose,0.02,3,32.2401
valiant,transpose,0.02,4,32.2155
valiant,transpose,0.05,0,33.1608
valiant,transpose,0.05,1,33.099
valiant,transpose,0.05,2,33.0863
valiant,transpose,0.05,3,33.1736
valiant,transpose,0.05,4,33.103
